normRMSH;normCurv;gammaNorm;muT;normPullOff
0.0881469;26.0928;0.0573922;0.295884;0.000558506
0.0450704;264.667;0.0517734;0.431695;0.000370759
0.226053;5.10666;0.0627875;0.356678;0.000326166
0.0586952;92.2445;0.0582177;2.60272;9.64E-05
0.111252;14.4379;0.0461727;0.433045;0.000337587
0.0893973;26.2494;0.336462;0.539037;0.00993816
0.0893;26.2153;0.396663;0.90754;0.00229455
0.0539656;136.704;0.279021;0.771974;0.00116678
0.225078;5.09501;0.01937;0.737197;0.000308812
0.216646;5.27892;0.0249536;0.346923;0.000535249
0.0980339;20.4413;0.227612;1.31085;0.000165965
0.112774;14.5859;0.234597;1.40225;0.000330109
0.11252;14.543;0.0642448;0.383647;0.000627772
0.148825;8.50157;0.0640929;0.363949;0.00216913
0.0800734;31.5621;0.0235511;0.680147;0.000361616
0.226675;5.08463;0.139399;0.470961;0.000228041
0.149074;8.53645;0.276541;0.352352;0.0187233
0.0495562;178.934;0.0405807;1.66778;1.93E-05
0.0780492;37.4363;0.0105159;1.29431;7.59E-05
0.0726129;48.8909;0.236707;0.280419;0.00315588
0.225456;5.12128;0.472955;6.25716;2.13E-05
0.0531116;135.626;0.0435596;1.1599;6.14E-05
0.0929451;23.3265;0.116015;0.818518;3.86E-05
0.149074;8.53647;0.0191829;1.31801;5.78E-05
0.0890797;26.2221;0.00236997;0.382841;0.000261634
0.0881468;26.0927;0.0326672;0.206499;0.000384637
0.227925;5.05203;0.0245916;0.210391;0.000929892
0.0457135;266.098;0.197844;0.424005;0.00157282
0.149003;8.56186;0.589379;0.299331;0.15981
0.0652303;71.1792;0.721785;0.582598;0.0497658
0.22508;5.09501;0.181499;1.34965;0.00169219
0.0604715;93.217;0.0906764;0.309925;0.000532118
0.148977;8.56352;0.329294;0.518476;0.0119211
0.0718569;48.7915;0.0591418;0.728131;3.81E-05
0.225959;5.10703;0.287607;0.614145;0.00269319
0.0726127;48.8908;0.322807;0.229722;0.219136
0.0894047;26.255;1.19756;0.220979;0.357983
0.148977;8.56352;0.417546;0.316725;0.0442098
0.0890795;26.2222;0.0217982;0.633862;3.82E-05
0.0361365;688.873;0.0893682;0.485084;0.000226339
0.0361366;688.873;0.0603684;0.935988;1.76E-05
0.0330742;1025.61;0.146264;1.22269;6.61E-05
0.0889826;26.1263;0.0961023;0.213194;0.000300819
0.223971;5.13797;0.0335838;0.231153;0.000356814
0.0726127;48.8908;0.0671704;0.339907;0.0892402
